Item,Variant,Clause 1,Clause 2,Sentence
10,[P → A],The Mayor was interviewed by the newspapers,and the TV networks did too,"The Mayor was interviewed by the newspapers, and the TV networks did too."
,[A → P],The newspaper interviewed the Mayor,and the Chief of Police was too,"The newspaper interviewed the Mayor, and the Chief of Police was too."
,[A → A],The newspaper interviewed the Mayor,and the TV networks did too,"The newspaper interviewed the Mayor, and the TV networks did too."
,[P → P],The Mayor was interviewed by the newspapers,and the Chief of Police was too,"The Mayor was interviewed by the newspapers, and the Chief of Police was too."
,[P → A],The Mayor was interviewed by the newspapers,and the TV networks interviewed him too,"The Mayor was interviewed by the newspapers, and the TV networks interviewed him too."
,[A → P],The newspaper interviewed the Mayor,and the Chief of Police was interviewed too,"The newspaper interviewed the Mayor, and the Chief of Police was interviewed too."
,[A → A],The newspaper interviewed the Mayor,and the TV networks interviewed him too,"The newspaper interviewed the Mayor, and the TV networks interviewed him too."
,[P → P],The Mayor was interviewed by the newspapers,and the Chief of Police was interviewed too,"The Mayor was interviewed by the newspapers, and the Chief of Police was interviewed too."
11,[P → A],The suspect was questioned by the police,and the lawyer did too,"The suspect was questioned by the police, and the lawyer did too."
,[A → P],The police questioned the suspect,and the witness was too,"The police questioned the suspect, and the witness was too."
,[A → A],The police questioned the suspect,and the lawyer did too,"The police questioned the suspect, and the lawyer did too."
,[P → P],The suspect was questioned by the police,and the witness was too,"The suspect was questioned by the police, and the witness was too."
,[P → A],The suspect was questioned by the police,and the lawyer questioned him too,"The suspect was questioned by the police, and the lawyer questioned him too."
,[A → P],The police questioned the suspect,and the witness was questioned too,"The police questioned the suspect, and the witness was questioned too."
,[A → A],The police questioned the suspect,and the lawyer questioned him too,"The police questioned the suspect, and the lawyer questioned him too."
,[P → P],The suspect was questioned by the police,and the witness was questioned too,"The suspect was questioned by the police, and the witness was questioned too."
12,[P → A],The doctor was blamed by the child’s parents,and the insurance company did too,"The doctor was blamed by the child’s parents, and the insurance company did too."
,[A → P],The child’s parents blamed the doctor,and the head nurse was too,"The child’s parents blamed the doctor, and the head nurse was too."
,[A → A],The child’s parents blamed the doctor,and the insurance company did too,"The child’s parents blamed the doctor, and the insurance company did too."
,[P → P],The doctor was blamed by the child’s parents,and the head nurse was too,"The doctor was blamed by the child’s parents, and the head nurse was too."
,[P → A],The doctor was blamed by the child’s parents,and the insurance company blamed him too,"The doctor was blamed by the child’s parents, and the insurance company blamed him too."
,[A → P],The child’s parents blamed the doctor,and the head nurse was blamed too,"The child’s parents blamed the doctor, and the head nurse was blamed too."
,[A → A],The child’s parents blamed the doctor,and the insurance company blamed him too,"The child’s parents blamed the doctor, and the insurance company blamed him too."
,[P → P],The doctor was blamed by the child’s parents,and the head nurse was blamed too,"The doctor was blamed by the child’s parents, and the head nurse was blamed too."
13,[P → A],The new girl was pushed again by Bill,after John did already,The new girl was pushed again by Bill after John did already.
,[A → P],Bill pushed the new girl again,after Jill was already,Bill pushed the new girl again after Jill was already.
,[A → A],Bill pushed the new girl again,after John did already,Bill pushed the new girl again after John did already.
,[P → P],The new girl was pushed again by Bill,after Jill was already,The new girl was pushed again by Bill after Jill was already.
,[P → A],The new girl was pushed again by Bill,after John pushed her already,The new girl was pushed again by Bill after John pushed her already.
,[A → P],Bill pushed the new girl again,after Jill was pushed already,Bill pushed the new girl again after Jill was pushed already.
,[A → A],Bill pushed the new girl again,after John pushed her already,Bill pushed the new girl again after John pushed her already.
,[P → P],The new girl was pushed again by Bill,after Jill was pushed already,The new girl was pushed again by Bill after Jill was pushed already.
14,[P → A],The student was questioned by Customs,after Immigration did previously,The student was questioned by Customs after Immigration did previously.
,[A → P],Customs questioned the student,after his friend was previously,Customs questioned the student after his friend was previously.
,[A → A],Customs questioned the student,after Immigration did previously,Customs questioned the student after Immigration did previously.
,[P → P],The student was questioned by Customs,after his friend was previously,The student was questioned by Customs after his friend was previously.
,[P → A],The student was questioned by Customs,after Immigration questioned her previously,The student was questioned by Customs after Immigration questioned her previously.
,[A → P],Customs questioned the student,after his friend was questioned previously,Customs questioned the student after his friend was questioned previously.
,[A → A],Customs questioned the student,after Immigration questioned her previously,Customs questioned the student after Immigration questioned her previously.
,[P → P],The student was questioned by Customs,after his friend was questioned previously,The student was questioned by Customs after his friend was questioned previously.
15,[P → A],The accountant was investigated by the IRS on Tuesday,after the police did on Monday,The accountant was investigated by the IRS on Tuesday after the police did on Monday.
,[A → P],The IRS investigated the accountant on Tuesday,after the CEO was on Monday,The IRS investigated the accountant on Tuesday after the CEO was on Monday.
,[A → A],The IRS investigated the accountant on Tuesday,after the police did on Monday,The IRS investigated the accountant on Tuesday after the police did on Monday.
,[P → P],The accountant was investigated by the IRS on Tuesday,after the CEO was on Monday,The accountant was investigated by the IRS on Tuesday after the CEO was on Monday.
,[P → A],The accountant was investigated by the IRS on Tuesday,after the police investigated him on Monday,The accountant was investigated by the IRS on Tuesday after the police investigated him on Monday.
,[A → P],The IRS investigated the accountant on Tuesday,after the CEO was investigated on Monday,The IRS investigated the accountant on Tuesday after the CEO was investigated on Monday.
,[A → A],The IRS investigated the accountant on Tuesday,after the police investigated him on Monday,The IRS investigated the accountant on Tuesday after the police investigated him on Monday.
,[P → P],The accountant was investigated by the IRS on Tuesday,after the CEO was investigated on Monday,The accountant was investigated by the IRS on Tuesday after the CEO was investigated on Monday.
16,[P → A],The volleyball team was beaten by the Cubans,after the Germans did previously,The volleyball team was beaten by the Cubans after the Germans did previously.
,[A → P],The Cubans beat the volleyball team,after the tennis team was previously,The Cubans beat the volleyball team after the tennis team was previously.
,[A → A],The Cubans beat the volleyball team,after the Germans did previously,The Cubans beat the volleyball team after the Germans did previously.
,[P → P],The volleyball team was beaten by the Cubans,after the tennis team was previously,The volleyball team was beaten by the Cubans after the tennis team was previously.
,[P → A],The volleyball team was beaten by the Cubans,after the Germans beat them previously,The volleyball team was beaten by the Cubans after the Germans beat them previously.
,[A → P],The Cubans beat the volleyball team,after the tennis team was beaten previously,The Cubans beat the volleyball team after the tennis team was beaten previously.
,[A → A],The Cubans beat the volleyball team,after the Germans beat them previously,The Cubans beat the volleyball team after the Germans beat them previously.
,[P → P],The volleyball team was beaten by the Cubans,after the tennis team was beaten previously,The volleyball team was beaten by the Cubans after the tennis team was beaten previously.
17,[P → A],The guitarist was booed by the audience,after the club owner himself did earlier,The guitarist was booed by the audience after the club owner himself did earlier.
,[A → P],The audience booed the guitarist,after the lead singer herself was earlier,The audience booed the guitarist after the lead singer herself was earlier.
,[A → A],The audience booed the guitarist,after the club owner himself did earlier,The audience booed the guitarist after the club owner himself did earlier.
,[P → P],The guitarist was booed by the audience,after the lead singer herself was earlier,The guitarist was booed by the audience after the lead singer herself was earlier.
,[P → A],The guitarist was booed by the audience,after the club owner himself booed her earlier,The guitarist was booed by the audience after the club owner himself booed her earlier.
,[A → P],The audience booed the guitarist,after the lead singer herself was booed earlier,The audience booed the guitarist after the lead singer herself was booed earlier.
,[A → A],The audience booed the guitarist,after the club owner himself booed her earlier,The audience booed the guitarist after the club owner himself booed her earlier.
,[P → P],The guitarist was booed by the audience,after the lead singer herself was booed earlier,The guitarist was booed by the audience after the lead singer herself was booed earlier.
18,[P → A],The table was criticized by the seller,after the buyer did already,The table was criticized by the seller after the buyer did already.
,[A → P],The seller criticized the table,after the chairs were already,The seller criticized the table after the chairs were already.
,[A → A],The seller criticized the table,after the buyer did already,The seller criticized the table after the buyer did already.
,[P → P],The table was criticized by the seller,after the chairs were already,The table was criticized by the seller after the chairs were already.
,[P → A],The table was criticized by the seller,after the buyer criticized it already,The table was criticized by the seller after the buyer criticized it already.
,[A → P],The seller criticized the table,after the chairs were criticized already,The seller criticized the table after the chairs were criticized already.
,[A → A],The seller criticized the table,after the buyer criticized it already,The seller criticized the table after the buyer criticized it already.
,[P → P],The table was criticized by the seller,after the chairs were criticized already,The table was criticized by the seller after the chairs were criticized already.
19,[P → A],The dessert was praised by the customer,after the critic did already,The dessert was praised by the customer after the critic did already.
,[A → P],The customer praised the dessert,after the appetizer was already,The customer praised the dessert after the appetizer was already.
,[A → A],The customer praised the dessert,after the critic did already,The customer praised the dessert after the critic did already.
,[P → P],The dessert was praised by the customer,after the appetizer was already,The dessert was praised by the customer after the appetizer was already.
,[P → A],The dessert was praised by the customer,after the critic praised it already,The dessert was praised by the customer after the critic praised it already.
,[A → P],The customer praised the dessert,after the appetizer was praised already,The customer praised the dessert after the appetizer was praised already.
,[A → A],The customer praised the dessert,after the critic praised it already,The customer praised the dessert after the critic praised it already.
,[P → P],The dessert was praised by the customer,after the appetizer was praised already,The dessert was praised by the customer after the appetizer was praised already.
20,[P → A],The house was photographed by Jill,after Sally did previously,The house was photographed by Jill after Sally did previously.
,[A → P],Jill photographed the house,after the garage was previously,Jill photographed the house after the garage was previously.
,[A → A],Jill photographed the house,after Sally did previously,Jill photographed the house after Sally did previously.
,[P → P],The house was photographed by Jill,after the garage was previously,The house was photographed by Jill after the garage was previously.
,[P → A],The house was photographed by Jill,after Sally photographed it previously,The house was photographed by Jill after Sally photographed it previously.
,[A → P],Jill photographed the house,after the garage was photographed previously,Jill photographed the house after the garage was photographed previously.
,[A → A],Jill photographed the house,after Sally photographed it previously,Jill photographed the house after Sally photographed it previously.
,[P → P],The house was photographed by Jill,after the garage was photographed previously,The house was photographed by Jill after the garage was photographed previously.
21,[P → A],The 400 meter record was broken by Phelps,after Thorpe did previously,The 400 meter record was broken by Phelps after Thorpe did previously.
,[A → P],Phelps broke the 400 meter record,after the 200 meter one was previously,Phelps broke the 400 meter record after the 200 meter one was previously.
,[A → A],Phelps broke the 400 meter record,after Thorpe did previously,Phelps broke the 400 meter record after Thorpe did previously.
,[P → P],The 400 meter record was broken by Phelps,after the 200 meter one was previously,The 400 meter record was broken by Phelps after the 200 meter one was previously.
,[P → A],The 400 meter record was broken by Phelps,after Thorpe broke it previously,The 400 meter record was broken by Phelps after Thorpe broke it previously.
,[A → P],Phelps broke the 400 meter record,after the 200 meter one was borken previously,Phelps broke the 400 meter record after the 200 meter one was borken previously.
,[A → A],Phelps broke the 400 meter record,after Thorpe broke it previously,Phelps broke the 400 meter record after Thorpe broke it previously.
,[P → P],The 400 meter record was broken by Phelps,after the 200 meter one was borken previously,The 400 meter record was broken by Phelps after the 200 meter one was borken previously.
22,[P → A],The secret recipe was revealed by Kate,after Sandra did already,The secret recipe was revealed by Kate after Sandra did already.
,[A → P],Kate revealed the secret recipe,after the chef’s private notes were already,Kate revealed the secret recipe after the chef’s private notes were already.
,[A → A],Kate revealed the secret recipe,after Sandra did already,Kate revealed the secret recipe after Sandra did already.
,[P → P],The secret recipe was revealed by Kate,after the chef’s private notes were already,The secret recipe was revealed by Kate after the chef’s private notes were already.
,[P → A],The secret recipe was revealed by Kate,after Sandra realed it already,The secret recipe was revealed by Kate after Sandra realed it already.
,[A → P],Kate revealed the secret recipe,after the chef’s private notes were revealed already,Kate revealed the secret recipe after the chef’s private notes were revealed already.
,[A → A],Kate revealed the secret recipe,after Sandra realed it already,Kate revealed the secret recipe after Sandra realed it already.
,[P → P],The secret recipe was revealed by Kate,after the chef’s private notes were revealed already,The secret recipe was revealed by Kate after the chef’s private notes were revealed already.
23,[P → A],The library was called by the department head,after the department secretary did previously,The library was called by the department head after the department secretary did previously.
,[A → P],The department head called the library,after the records office was previously,The department head called the library after the records office was previously.
,[A → A],The department head called the library,after the department secretary did previously,The department head called the library after the department secretary did previously.
,[P → P],The library was called by the department head,after the records office was previously,The library was called by the department head after the records office was previously.
,[P → A],The library was called by the department head,after the department secretary colled it previously,The library was called by the department head after the department secretary colled it previously.
,[A → P],The department head called the library,after the records office was called previously,The department head called the library after the records office was called previously.
,[A → A],The department head called the library,after the department secretary colled it previously,The department head called the library after the department secretary colled it previously.
,[P → P],The library was called by the department head,after the records office was called previously,The library was called by the department head after the records office was called previously.
24,[P → A],The local writers were criticized by Tom,after the professor did already,The local writers were criticized by Tom after the professor did already.
,[A → P],Tom criticized the local writers,after the local paper was already,Tom criticized the local writers after the local paper was already.
,[A → A],Tom criticized the local writers,after the professor did already,Tom criticized the local writers after the professor did already.
,[P → P],The local writers were criticized by Tom,after the local paper was already,The local writers were criticized by Tom after the local paper was already.
,[P → A],The local writers were criticized by Tom,after the professor critized them already,The local writers were criticized by Tom after the professor critized them already.
,[A → P],Tom criticized the local writers,after the local paper was criticized already,Tom criticized the local writers after the local paper was criticized already.
,[A → A],Tom criticized the local writers,after the professor critized them already,Tom criticized the local writers after the professor critized them already.
,[P → P],The local writers were criticized by Tom,after the local paper was criticized already,The local writers were criticized by Tom after the local paper was criticized already.
