Item,Ellipsis Type,Ellipsis,Voice,New item,Original items (for reference)
11,gapping,elliptical,active,"The police questioned the suspect, and the lawyer, the accusor.  ","The suspect was questioned by the police, and the lawyer did too."
,,elliptical,passive,"The suspect was questioned by the police, and the accusor, by the lawyer.  ","The police questioned the suspect, and the witness was too."
,,non-elliptical,active,"The police questioned the suspect, and the lawyer questioned the accusor.","The police questioned the suspect, and the lawyer did too."
,,non-elliptical,passive,"The suspect was questioned by the police, and the accusor was questioned by the lawyer.","The suspect was questioned by the police, and the witness was too."
12,sluicing,elliptical,active,"Someone blamed the doctor, but no one knows who. ","The doctor was blamed by the child’s parents, and the insurance company did too."
,,elliptical,passive,"The doctor was blamed by someone, but no one knows by whom. ","The child’s parents blamed the doctor, and the head nurse was too."
,,non-elliptical,active,"Someone blamed the doctor, but no one knows who blamed him.","The child’s parents blamed the doctor, and the insurance company did too."
,,non-elliptical,passive,"The doctor was blamed by someone, but no one knows by whom he was blamed.  ","The doctor was blamed by the child’s parents, and the head nurse was too."
13,gapping,elliptical,active,"Norm pushed the employee, and George, the manager. ",The new girl was pushed again by Bill after John did already.
,,elliptical,passive,"The employee was pushed by Norm, and the manager, by George. ",Bill pushed the new girl again after Jill was already.
,,non-elliptical,active,"Norm pushed the employee, and George pushed the manager.",Bill pushed the new girl again after John did already.
,,non-elliptical,passive,"The employee was pushed by Norm, and the manager was pushed by George.",The new girl was pushed again by Bill after Jill was already.
14,sluicing,elliptical,active,"Someone interrogated the student, but the faculty aren't sure who.  ",The student was questioned by Customs after Immigration did previously.
,,elliptical,passive,"The student was interrtogated by someone, but the faculty aren't sure by whom. ",Customs questioned the student after his friend was previously.
,,non-elliptical,active,"Someone interrogated the student, but the faculty aren't sure who interrogated her. ",Customs questioned the student after Immigration did previously.
,,non-elliptical,passive,"The student was interrogated by someone, but the faculty aren't sure by whom she was interrogated. ",The student was questioned by Customs after his friend was previously.
15,gapping,elliptical,active,"The police investigated the accountant, and the IRS, the politician. ",The accountant was investigated by the IRS on Tuesday after the police did on Monday.
,,elliptical,passive,"The accountant was investigated by the police, and the politician, by the IRS.  ",The IRS investigated the accountant on Tuesday after the CEO was on Monday.
,,non-elliptical,active,"The police investigated the accountant, and the IRS investigated the politician.",The IRS investigated the accountant on Tuesday after the police did on Monday.
,,non-elliptical,passive,"The accountant was investigated by the police, and the politician was investigated by the IRS.",The accountant was investigated by the IRS on Tuesday after the CEO was on Monday.
16,sluicing,elliptical,active,"Someone beat Federer today, but I don't know who. ",The volleyball team was beaten by the Cubans after the Germans did previously.
,,elliptical,passive,"Federer was beaten by someone today, but I don't know by whom. ",The Cubans beat the volleyball team after the tennis team was previously.
,,non-elliptical,active,"Someone beat Federer today, but I don't know who beat him. ",The Cubans beat the volleyball team after the Germans did previously.
,,non-elliptical,passive,"Federer was beaten by someone today, but I don't know by whom he was beaten. ",The volleyball team was beaten by the Cubans after the tennis team was previously.
17,gapping,elliptical,active,"The lead singer criticized the guitarist, and the drummer, the bassist. ",The guitarist was booed by the audience after the club owner himself did earlier.
,,elliptical,passive,"The guitarist was criticized by the lead singer, and the bassist, by the drummer. ",The audience booed the guitarist after the lead singer herself was earlier.
,,non-elliptical,active,"The lead singer criticized the guitarist, and the drummer criticized the bassist.",The audience booed the guitarist after the club owner himself did earlier.
,,non-elliptical,passive,"The guitarist was criticized by the lead singer, and the bassist was criticized by the drummer.",The guitarist was booed by the audience after the lead singer herself was earlier.
18,sluicing,elliptical,active,"Someone sold the painting at a recent auction, but I don't know who. ",The table was criticized by the seller after the buyer did already.
,,elliptical,passive,"The painting was sold by someone at a recent auction, but I don't know by whom. ",The seller criticized the table after the chairs were already.
,,non-elliptical,active,"Someone sold the painting at a recent auction, but I don't know who sold it.",The seller criticized the table after the buyer did already.
,,non-elliptical,passive,"The painting was sold by someone at a recent auction, but I don't know by whom it was sold.",The table was criticized by the seller after the chairs were already.
19,gapping,elliptical,active,"The congressman congratulated the policemen, and the governor, the medical workers.  ",The dessert was praised by the customer after the critic did already.
,,elliptical,passive,"The policemen were congratulated by the congressman, and the medical workers, by the governor.",The customer praised the dessert after the appetizer was already.
,,non-elliptical,active,"The congressman congratulated the policemen, and the governor congratulated the medical workers.",The customer praised the dessert after the critic did already.
,,non-elliptical,passive,"The policemen were congratulated by the congressman, and the medical workers were congratulated by the mayor.",The dessert was praised by the customer after the appetizer was already.
20,sluicing,elliptical,active,"Someone videotaped the concert, but no one knows who. ",The house was photographed by Jill after Sally did previously.
,,elliptical,passive,"The concert was videotaped by someone, but no one knows by whom. ",Jill photographed the house after the garage was previously.
,,non-elliptical,active,"Someone videotaped the concert, but no one knows who videotaped it.",Jill photographed the house after Sally did previously.
,,non-elliptical,passive,"The concert was videotaped by someone, but no one knows by whom it was videotaped.",The house was photographed by Jill after the garage was previously.
21,gapping,elliptical,active,"Phelps broke the 400 meter record, and Lochte, the 800 meter record.  ",The 400 meter record was broken by Phelps after Thorpe did previously.
,,elliptical,passive,"The 400 meter record was broken by Phelps, and the 800 meter record, by Lochte.",Phelps broke the 400 meter record after the 200 meter one was previously.
,,non-elliptical,active,"Phelps broke the 400 meter record, and Lochte broke the 800 meter record.",Phelps broke the 400 meter record after Thorpe did previously.
,,non-elliptical,passive,"The 400 meter record was broken by Phelps, and the 800 meter record was broken by Lochte.",The 400 meter record was broken by Phelps after the 200 meter one was previously.
22,sluicing,elliptical,active,"Someone revealed the secret recipe, but I don't know who.  ",The secret recipe was revealed by Kate after Sandra did already.
,,elliptical,passive,"The secret recipe was revealed by someone, but I don't know by whom. ",Kate revealed the secret recipe after the chef’s private notes were already.
,,non-elliptical,active,"Someone revealed the secret recipe, but I don't know who revealed it. ",Kate revealed the secret recipe after Sandra did already.
,,non-elliptical,passive,"The secret recipe was revealed by someone, but I don't know by whom it was revealed.",The secret recipe was revealed by Kate after the chef’s private notes were already.
23,gapping,elliptical,active,"The department called the local sheriff, and the adminstration, the FBI. ",The library was called by the department head after the department secretary did previously.
,,elliptical,passive,"The local sheriff was called by the department, and the FBI, by the administration. ",The department head called the library after the records office was previously.
,,non-elliptical,active,"The department called the local sheriff, and the adminstration called the FBI.",The department head called the library after the department secretary did previously.
,,non-elliptical,passive,"The local sheriff was called by the department, and the FBI was called by the administration.",The library was called by the department head after the records office was previously.
24,sluicing ,elliptical,active,"Someome chastised the manager at the meeting, but I don't know who.",The local writers were criticized by Tom after the professor did already.
,,elliptical,passive,"The manager was chastised by someone at the meeting, but I don't know by whom.",Tom criticized the local writers after the local paper was already.
,,non-elliptical,active,"Someome chastised the manager at the meeting, but I don't know who chastised the manager.",Tom criticized the local writers after the professor did already.
,,non-elliptical,passive,"The manager was chastised by someone at the meeting, but I don't know by whom she was chastised. ",The local writers were criticized by Tom after the local paper was already.
