Item,Variant,Clause 2,Clause 1,Sentence
6,[A ← P],Mary was given French classes by her French grandmother,Before her French aunt did,"Before her French aunt did, Mary was given French classes by her French grandmother."
,[P ← A],Mary’s French grandmother gave her French classes,Before her sister was,"Before her sister was, Mary’s French grandmother gave her French classes."
,[A ← A],Mary’s French grandmother gave her French classes,Before her French aunt did,"Before her French aunt did, Mary’s French grandmother gave her French classes."
,[P ← P],Mary was given French classes by her French grandmother,Before her sister was,"Before her sister was, Mary was given French classes by her French grandmother."
7,[A ← P],Susan was offered a loan by the bank,Before the credit union did,"Before the credit union did, Susan was offered a loan by the bank."
,[P ← A],Susan’s bank offered her a loan,Before her sisters were,"Before her sisters were, Susan’s bank offered her a loan."
,[A ← A],Susan’s bank offered her a loan,Before the credit union did,"Before the credit union did, Susan’s bank offered her a loan."
,[P ← P],Susan was offered a loan by the bank,Before her sisters were,"Before her sisters were, Susan was offered a loan by the bank."
8,[A ← P],the witness was surprised by the policeman’s question,Before the lawyer did,"Before the lawyer did, the witness was surprised by the policeman’s question."
,[P ← A],the policeman’s question surprised the witness,Before the accused was,"Before the accused was, the policeman’s question surprised the witness."
,[A ← A],the policeman’s question surprised the witness,Before the lawyer did,"Before the lawyer did, the policeman’s question surprised the witness."
,[P ← P],the witness was surprised by the policeman’s question,Before the accused was,"Before the accused was, the witness was surprised by the policeman’s question."
9,[A ← P],the autoworkers were exploited by the local business,Before the big corporations did,"Before the big corporations did, the autoworkers were exploited by the local business."
,[P ← A],the local business exploited the autoworkers,Before the metal workers were,"Before the metal workers were, the local business exploited the autoworkers."
,[A ← A],the local business exploited the autoworkers,Before the big corporations did,"Before the big corporations did, the local business exploited the autoworkers."
,[P ← P],the autoworkers were exploited by the local business,Before the metal workers were,"Before the metal workers were, the autoworkers were exploited by the local business."
10,[A ← P],the Mayor was interviewed by the newspapers,Before the TV networks did,"Before the TV networks did, the Mayor was interviewed by the newspapers."
,[P ← A],the newspaper interviewed the Mayor,Before the Chief of Police was,"Before the Chief of Police was, the newspaper interviewed the Mayor."
,[A ← A],the newspaper interviewed the Mayor,Before the TV networks did,"Before the TV networks did, the newspaper interviewed the Mayor."
,[P ← P],the Mayor was interviewed by the newspapers,Before the Chief of Police was,"Before the Chief of Police was, the Mayor was interviewed by the newspapers."
11,[A ← P],the suspect was questioned by the police,Before the lawyer did,"Before the lawyer did, the suspect was questioned by the police."
,[P ← A],the police questioned the suspect,Before the witness was,"Before the witness was, the police questioned the suspect."
,[A ← A],the police questioned the suspect,Before the lawyer did,"Before the lawyer did, the police questioned the suspect."
,[P ← P],the suspect was questioned by the police,Before the witness was,"Before the witness was, the suspect was questioned by the police."
12,[A ← P],the doctor was blamed by the child’s parents,Before the insurance company did,"Before the insurance company did, the doctor was blamed by the child’s parents."
,[P ← A],the child’s parents blamed the doctor,Before the head nurse was,"Before the head nurse was, the child’s parents blamed the doctor."
,[A ← A],the child’s parents blamed the doctor,Before the insurance company did,"Before the insurance company did, the child’s parents blamed the doctor."
,[P ← P],the doctor was blamed by the child’s parents,Before the head nurse was,"Before the head nurse was, the doctor was blamed by the child’s parents."
13,[A ← P],the new girl was pushed again by Bill,After John did already,"After John did already, the new girl was pushed again by Bill."
,[P ← A],Bill pushed the new girl again,After Jill was already,"After Jill was already, Bill pushed the new girl again."
,[A ← A],Bill pushed the new girl again,After John did already,"After John did already, Bill pushed the new girl again."
,[P ← P],the new girl was pushed again by Bill,After Jill was already,"After Jill was already, the new girl was pushed again by Bill."
14,[A ← P],the student was questioned by Customs,After Immigration did previously,"After Immigration did previously, the student was questioned by Customs."
,[P ← A],Customs questioned the student,After his friend was previously,"After his friend was previously, Customs questioned the student."
,[A ← A],Customs questioned the student,After Immigration did previously,"After Immigration did previously, Customs questioned the student."
,[P ← P],the student was questioned by Customs,After his friend was previously,"After his friend was previously, the student was questioned by Customs."
15,[A ← P],the accountant was investigated by the IRS on Tuesday,After the police did on Monday,"After the police did on Monday, the accountant was investigated by the IRS on Tuesday."
,[P ← A],the IRS investigated the accountant on Tuesday,After the CEO was on Monday,"After the CEO was on Monday, the IRS investigated the accountant on Tuesday."
,[A ← A],the IRS investigated the accountant on Tuesday,After the police did on Monday,"After the police did on Monday, the IRS investigated the accountant on Tuesday."
,[P ← P],the accountant was investigated by the IRS on Tuesday,After the CEO was on Monday,"After the CEO was on Monday, the accountant was investigated by the IRS on Tuesday."
16,[A ← P],the volleyball team was beaten by the Cubans,After the Germans did previously,"After the Germans did previously, the volleyball team was beaten by the Cubans."
,[P ← A],the Cubans beat the volleyball team,After the tennis team was previously,"After the tennis team was previously, the Cubans beat the volleyball team."
,[A ← A],the Cubans beat the volleyball team,After the Germans did previously,"After the Germans did previously, the Cubans beat the volleyball team."
,[P ← P],the volleyball team was beaten by the Cubans,After the tennis team was previously,"After the tennis team was previously, the volleyball team was beaten by the Cubans."
17,[A ← P],the guitarist was booed by the audience,After the club owner himself did earlier,"After the club owner himself did earlier, the guitarist was booed by the audience."
,[P ← A],the audience booed the guitarist,After the lead singer herself was earlier,"After the lead singer herself was earlier, the audience booed the guitarist."
,[A ← A],the audience booed the guitarist,After the club owner himself did earlier,"After the club owner himself did earlier, the audience booed the guitarist."
,[P ← P],the guitarist was booed by the audience,After the lead singer herself was earlier,"After the lead singer herself was earlier, the guitarist was booed by the audience."
18,[A ← P],the table was criticized by the seller,After the buyer did already,"After the buyer did already, the table was criticized by the seller."
,[P ← A],the seller criticized the table,After the chairs were already,"After the chairs were already, the seller criticized the table."
,[A ← A],the seller criticized the table,After the buyer did already,"After the buyer did already, the seller criticized the table."
,[P ← P],the table was criticized by the seller,After the chairs were already,"After the chairs were already, the table was criticized by the seller."
19,[A ← P],the dessert was praised by the customer,After the critic did already,"After the critic did already, the dessert was praised by the customer."
,[P ← A],the customer praised the dessert,After the appetizer was already,"After the appetizer was already, the customer praised the dessert."
,[A ← A],the customer praised the dessert,After the critic did already,"After the critic did already, the customer praised the dessert."
,[P ← P],the dessert was praised by the customer,After the appetizer was already,"After the appetizer was already, the dessert was praised by the customer."
20,[A ← P],the house was photographed by Jill,After Sally did previously,"After Sally did previously, the house was photographed by Jill."
,[P ← A],Jill photographed the house,After the garage was previously,"After the garage was previously, Jill photographed the house."
,[A ← A],Jill photographed the house,After Sally did previously,"After Sally did previously, Jill photographed the house."
,[P ← P],the house was photographed by Jill,After the garage was previously,"After the garage was previously, the house was photographed by Jill."
21,[A ← P],the 400 meter record was broken by Phelps,After Thorpe did previously,"After Thorpe did previously, the 400 meter record was broken by Phelps."
,[P ← A],Phelps broke the 400 meter record,After the 200 meter one was previously,"After the 200 meter one was previously, Phelps broke the 400 meter record."
,[A ← A],Phelps broke the 400 meter record,After Thorpe did previously,"After Thorpe did previously, Phelps broke the 400 meter record."
,[P ← P],the 400 meter record was broken by Phelps,After the 200 meter one was previously,"After the 200 meter one was previously, the 400 meter record was broken by Phelps."
22,[A ← P],the secret recipe was revealed by Kate,After Sandra did already,"After Sandra did already, the secret recipe was revealed by Kate."
,[P ← A],Kate revealed the secret recipe,After the chef’s private notes were already,"After the chef’s private notes were already, Kate revealed the secret recipe."
,[A ← A],Kate revealed the secret recipe,After Sandra did already,"After Sandra did already, Kate revealed the secret recipe."
,[P ← P],the secret recipe was revealed by Kate,After the chef’s private notes were already,"After the chef’s private notes were already, the secret recipe was revealed by Kate."
23,[A ← P],the library was called by the department head,After the department secretary did previously,"After the department secretary did previously, the library was called by the department head."
,[P ← A],the department head called the library,After the records office was previously,"After the records office was previously, the department head called the library."
,[A ← A],the department head called the library,After the department secretary did previously,"After the department secretary did previously, the department head called the library."
,[P ← P],the library was called by the department head,After the records office was previously,"After the records office was previously, the library was called by the department head."
24,[A ← P],the local writers were criticized by Tom,After the professor did already,"After the professor did already, the local writers were criticized by Tom."
,[P ← A],Tom criticized the local writers,After the local paper was already,"After the local paper was already, Tom criticized the local writers."
,[A ← A],Tom criticized the local writers,After the professor did already,"After the professor did already, Tom criticized the local writers."
,[P ← P],the local writers were criticized by Tom,After the local paper was already,"After the local paper was already, the local writers were criticized by Tom."
