Item,Variant,Clause 1,Clause 2,Sentence
20,[P → A],The house was photographed by Jill,after Sally did previously,The house was photographed by Jill after Sally did previously.
,[A → P],Jill photographed the house,after the garage was previously,Jill photographed the house after the garage was previously.
,[A → A],Jill photographed the house,after Sally did previously,Jill photographed the house after Sally did previously.
,[P → P],The house was photographed by Jill,after the garage was previously,The house was photographed by Jill after the garage was previously.
21,[P → A],The 400 meter record was broken by Phelps,after Thorpe did previously,The 400 meter record was broken by Phelps after Thorpe did previously.
,[A → P],Phelps broke the 400 meter record,after the 200 meter one was previously,Phelps broke the 400 meter record after the 200 meter one was previously.
,[A → A],Phelps broke the 400 meter record,after Thorpe did previously,Phelps broke the 400 meter record after Thorpe did previously.
,[P → P],The 400 meter record was broken by Phelps,after the 200 meter one was previously,The 400 meter record was broken by Phelps after the 200 meter one was previously.
22,[P → A],The secret recipe was revealed by Kate,after Sandra did already,The secret recipe was revealed by Kate after Sandra did already.
,[A → P],Kate revealed the secret recipe,after the chef’s private notes were already,Kate revealed the secret recipe after the chef’s private notes were already.
,[A → A],Kate revealed the secret recipe,after Sandra did already,Kate revealed the secret recipe after Sandra did already.
,[P → P],The secret recipe was revealed by Kate,after the chef’s private notes were already,The secret recipe was revealed by Kate after the chef’s private notes were already.
23,[P → A],The library was called by the department head,after the department secretary did previously,The library was called by the department head after the department secretary did previously.
,[A → P],The department head called the library,after the records office was previously,The department head called the library after the records office was previously.
,[A → A],The department head called the library,after the department secretary did previously,The department head called the library after the department secretary did previously.
,[P → P],The library was called by the department head,after the records office was previously,The library was called by the department head after the records office was previously.
24,[P → A],The local writers were criticized by Tom,after the professor did already,The local writers were criticized by Tom after the professor did already.
,[A → P],Tom criticized the local writers,after the local paper was already,Tom criticized the local writers after the local paper was already.
,[A → A],Tom criticized the local writers,after the professor did already,Tom criticized the local writers after the professor did already.
,[P → P],The local writers were criticized by Tom,after the local paper was already,The local writers were criticized by Tom after the local paper was already.
